user_id,product_id,action,timestamp
U001,P074,view,2024-01-01 10:35:00
U001,P078,click,2024-01-14 15:44:00
U001,P088,click,2024-01-29 14:46:00
U001,P059,click,2024-02-05 20:06:00
U001,P031,add_to_cart,2024-02-06 10:47:00
U001,P038,view,2024-02-14 06:47:00
U001,P019,view,2024-03-18 04:46:00
U001,P035,click,2024-03-18 18:14:00
U001,P071,view,2024-03-23 18:27:00
U002,P048,click,2024-01-02 16:28:00
U002,P002,view,2024-01-04 20:20:00
U002,P100,view,2024-01-05 02:22:00
U002,P069,view,2024-01-08 00:08:00
U002,P017,add_to_cart,2024-01-14 02:10:00
U002,P002,click,2024-01-16 15:14:00
U002,P086,click,2024-02-06 23:54:00
U002,P047,view,2024-02-08 13:58:00
U002,P088,click,2024-02-09 03:57:00
U002,P026,view,2024-02-15 11:51:00
U002,P036,view,2024-02-22 22:46:00
U002,P017,view,2024-03-03 08:54:00
U002,P010,click,2024-03-24 14:37:00
U003,P088,click,2024-01-07 12:23:00
U003,P045,click,2024-01-10 08:24:00
U003,P063,view,2024-01-15 12:33:00
U003,P084,click,2024-02-09 16:26:00
U003,P001,click,2024-02-11 21:22:00
U003,P005,click,2024-02-15 08:30:00
U003,P027,add_to_cart,2024-02-16 03:03:00
U003,P085,view,2024-03-10 14:04:00
U003,P004,view,2024-03-14 12:29:00
U003,P023,click,2024-03-22 00:24:00
U003,P094,view,2024-03-26 08:44:00
U004,P020,click,2024-02-01 06:45:00
U004,P082,add_to_cart,2024-02-18 03:33:00
U004,P008,view,2024-02-26 06:41:00
U004,P044,view,2024-03-02 02:32:00
U004,P020,click,2024-03-14 06:24:00
U004,P010,view,2024-03-23 09:30:00
U005,P031,click,2024-01-07 20:03:00
U005,P003,view,2024-01-12 17:13:00
U005,P051,view,2024-01-29 20:03:00
U005,P049,click,2024-02-03 10:26:00
U005,P012,add_to_cart,2024-02-18 14:00:00
U005,P099,add_to_cart,2024-02-25 09:52:00
U005,P021,add_to_cart,2024-03-05 07:08:00
U005,P021,add_to_cart,2024-03-18 19:39:00
U005,P069,view,2024-03-24 00:17:00
U006,P032,click,2024-01-04 21:00:00
U006,P085,click,2024-02-09 04:51:00
U006,P071,view,2024-02-10 19:10:00
U006,P051,view,2024-02-11 18:48:00
U006,P046,view,2024-02-17 02:22:00
U006,P060,view,2024-02-25 15:17:00
U006,P075,view,2024-02-26 16:21:00
U006,P081,view,2024-03-04 23:30:00
U006,P015,click,2024-03-17 05:24:00
U006,P039,view,2024-03-24 17:38:00
U007,P054,view,2024-01-21 19:28:00
U007,P083,view,2024-01-26 07:57:00
U007,P024,click,2024-01-31 01:39:00
U007,P047,view,2024-02-21 07:37:00
U007,P082,view,2024-02-27 13:40:00
U008,P087,click,2024-01-06 06:19:00
U008,P005,view,2024-01-16 16:02:00
U008,P019,view,2024-01-27 17:55:00
U008,P016,view,2024-02-03 21:00:00
U008,P089,add_to_cart,2024-02-05 04:41:00
U008,P044,click,2024-02-12 11:47:00
U008,P070,click,2024-02-13 14:21:00
U008,P047,click,2024-02-24 10:18:00
U009,P096,view,2024-01-04 03:33:00
U009,P046,view,2024-01-08 03:40:00
U009,P048,click,2024-01-12 17:09:00
U009,P056,view,2024-01-21 19:12:00
U009,P052,view,2024-01-21 19:36:00
U009,P036,view,2024-01-24 20:14:00
U009,P078,view,2024-01-25 21:30:00
U009,P001,view,2024-02-11 16:34:00
U009,P079,view,2024-02-15 10:20:00
U009,P034,view,2024-02-16 13:30:00
U009,P043,view,2024-03-08 05:32:00
U010,P046,view,2024-01-23 06:28:00
U010,P011,click,2024-01-24 12:29:00
U010,P046,click,2024-01-26 16:31:00
U010,P031,view,2024-01-29 12:20:00
U010,P054,view,2024-02-11 20:07:00
U010,P078,add_to_cart,2024-02-12 20:55:00
U010,P028,view,2024-02-15 20:04:00
U010,P037,view,2024-02-16 09:28:00
U010,P016,add_to_cart,2024-02-19 23:02:00
U010,P051,view,2024-02-23 17:10:00
U010,P012,click,2024-03-02 11:07:00
U010,P093,view,2024-03-19 10:31:00
U011,P063,view,2024-01-05 09:23:00
U011,P043,view,2024-01-17 22:40:00
U011,P027,view,2024-01-24 18:45:00
U011,P034,view,2024-02-06 12:34:00
U011,P060,add_to_cart,2024-02-21 12:47:00
U011,P008,view,2024-02-24 03:37:00
U011,P046,view,2024-02-25 04:20:00
U011,P095,view,2024-02-29 21:03:00
U011,P009,click,2024-03-08 13:08:00
U012,P019,click,2024-01-10 12:36:00
U012,P096,view,2024-01-11 01:29:00
U012,P044,view,2024-01-12 21:36:00
U012,P056,view,2024-01-22 06:09:00
U012,P043,click,2024-01-27 09:40:00
U012,P037,view,2024-01-31 01:51:00
U012,P074,view,2024-02-06 20:16:00
U012,P054,view,2024-02-10 07:23:00
U012,P010,view,2024-02-22 15:07:00
U012,P026,view,2024-03-01 12:37:00
U012,P093,view,2024-03-01 21:11:00
U012,P020,view,2024-03-02 01:49:00
U012,P010,click,2024-03-03 17:11:00
U012,P049,view,2024-03-17 23:37:00
U012,P018,click,2024-03-19 20:57:00
U012,P017,view,2024-03-21 00:11:00
U012,P092,click,2024-03-26 19:32:00
U012,P006,click,2024-03-27 03:40:00
U013,P085,view,2024-01-01 12:42:00
U013,P084,click,2024-01-29 04:17:00
U013,P041,add_to_cart,2024-02-15 20:49:00
U013,P047,view,2024-02-21 15:12:00
U013,P076,view,2024-02-22 19:18:00
U013,P082,click,2024-02-25 17:55:00
U013,P088,click,2024-03-05 15:53:00
U013,P092,view,2024-03-10 10:03:00
U013,P100,click,2024-03-27 20:40:00
U014,P062,click,2024-01-21 17:27:00
U014,P097,view,2024-01-24 00:27:00
U014,P076,view,2024-02-08 06:02:00
U014,P017,view,2024-02-09 20:11:00
U014,P003,click,2024-02-14 01:19:00
U014,P084,click,2024-02-21 11:30:00
U014,P082,view,2024-02-25 12:55:00
U014,P099,view,2024-02-26 16:19:00
U014,P090,view,2024-03-02 00:55:00
U014,P027,add_to_cart,2024-03-02 20:35:00
U014,P012,view,2024-03-03 01:07:00
U014,P004,click,2024-03-26 07:31:00
U014,P054,view,2024-03-30 11:19:00
U014,P069,add_to_cart,2024-03-30 14:40:00
U015,P082,click,2024-01-14 16:20:00
U015,P002,view,2024-01-20 14:50:00
U015,P003,view,2024-02-01 11:58:00
U015,P023,view,2024-02-04 23:35:00
U015,P041,view,2024-02-15 04:49:00
U015,P082,click,2024-02-22 15:10:00
U015,P030,view,2024-03-06 21:19:00
U015,P047,add_to_cart,2024-03-11 09:04:00
U015,P026,view,2024-03-20 22:46:00
U015,P066,view,2024-03-21 02:52:00
U016,P017,view,2024-01-06 14:00:00
U016,P014,view,2024-01-14 22:09:00
U016,P022,add_to_cart,2024-01-19 20:17:00
U016,P082,view,2024-01-24 09:57:00
U016,P053,add_to_cart,2024-01-27 05:30:00
U016,P010,view,2024-03-10 21:28:00
U016,P063,click,2024-03-27 07:23:00
U017,P086,view,2024-01-07 14:19:00
U017,P078,add_to_cart,2024-01-09 12:47:00
U017,P067,click,2024-01-11 16:51:00
U017,P025,click,2024-02-14 00:41:00
U017,P041,view,2024-02-15 01:13:00
U017,P070,view,2024-02-19 13:16:00
U017,P047,view,2024-02-27 06:58:00
U017,P060,click,2024-03-04 01:47:00
U017,P094,add_to_cart,2024-03-06 07:53:00
U017,P083,view,2024-03-12 06:13:00
U017,P049,view,2024-03-20 12:16:00
U017,P092,view,2024-03-21 11:32:00
U018,P089,view,2024-01-07 05:57:00
U018,P024,view,2024-01-16 12:49:00
U018,P059,view,2024-01-17 21:42:00
U018,P044,view,2024-01-25 12:46:00
U018,P038,view,2024-01-26 02:29:00
U018,P085,view,2024-01-26 03:44:00
U018,P061,view,2024-01-26 03:53:00
U018,P085,view,2024-02-18 07:39:00
U018,P019,click,2024-02-19 13:24:00
U018,P026,click,2024-02-21 09:51:00
U018,P059,click,2024-03-08 00:08:00
U018,P056,add_to_cart,2024-03-27 23:22:00
U019,P023,add_to_cart,2024-01-13 10:05:00
U019,P070,view,2024-01-28 14:18:00
U019,P049,add_to_cart,2024-01-30 21:15:00
U019,P014,view,2024-02-27 12:38:00
U019,P043,add_to_cart,2024-02-28 00:20:00
U019,P027,view,2024-02-28 10:09:00
U019,P048,click,2024-03-08 10:16:00
U019,P023,add_to_cart,2024-03-11 16:57:00
U019,P020,view,2024-03-13 17:30:00
U019,P078,click,2024-03-14 14:46:00
U019,P061,view,2024-03-19 13:14:00
U019,P027,view,2024-03-27 22:18:00
U019,P046,view,2024-03-28 09:17:00
U020,P027,view,2024-01-01 00:21:00
U020,P050,view,2024-01-02 01:22:00
U020,P059,view,2024-01-26 05:45:00
U020,P062,view,2024-01-30 18:01:00
U020,P086,view,2024-02-01 02:12:00
U020,P042,click,2024-02-12 03:08:00
U020,P051,view,2024-02-23 13:00:00
U020,P003,add_to_cart,2024-03-04 13:08:00
U020,P080,view,2024-03-22 14:32:00
U020,P022,add_to_cart,2024-03-31 14:22:00
U021,P078,click,2024-01-14 03:50:00
U021,P057,view,2024-01-22 22:17:00
U021,P015,click,2024-02-07 22:10:00
U021,P053,view,2024-02-21 01:26:00
U021,P098,view,2024-02-25 03:24:00
U021,P087,view,2024-02-28 09:35:00
U022,P050,view,2024-01-04 22:20:00
U022,P030,view,2024-01-26 12:03:00
U022,P010,view,2024-01-27 11:19:00
U022,P052,click,2024-01-28 09:45:00
U022,P036,view,2024-02-07 02:55:00
U022,P030,click,2024-03-04 04:39:00
U022,P090,click,2024-03-16 20:54:00
U022,P095,click,2024-03-25 20:14:00
U023,P069,view,2024-01-08 10:19:00
